Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
ก.ค.16,95.53,"1,350.59","18,400.88","1,548.44",1.77,2.21,44.7,34.62,"2,170.95",18.61,655,1.1156,"10,764.80",12.36,1.194,1.578,2.225,669.95,97.77,1.5,"22,126.00"
มิ.ย.16,96.14,"1,321.78","18,432.24","1,524.07",1.66,2.09,41.6,34.76,"2,173.60",20.31,630,1.117,"10,785.50",14.65,1.022,1.45,2.1955,710.75,98.11,1.5,"21,205.77"
พ.ค.16,95.89,"1,214.69","17,929.99","1,444.99",1.65,1.98,48.33,35.1,"2,098.86",18.69,640,1.1104,"10,489.80",11.95,1.001,1.475,2.1,597.95,98.08,1.5,"21,026.00"
เม.ย.16,93.08,"1,293.36","17,787.20","1,424.28",1.94,2.34,49.1,35.76,"2,096.96",15.98,655,1.1129,"10,441.00",9.56,1.38,1.851,2.2835,547.35,97.53,1.5,"20,563.64"
มี.ค.16,94.59,"1,231.95","17,773.64","1,404.61",1.535,1.84,45.92,34.89,"2,065.30",17.82,730,1.1454,"10,436.90",10.15,1.294,1.835,2.188,628.6,97,1.5,"20,664.81"
ก.พ.16,98.21,"1,237.76","17,685.09","1,407.70",1.46,1.73,38.34,35.1,"2,059.74",15.42,730,1.1378,"10,207.40",7.36,1.206,1.77,2.1325,564.65,96.79,1.5,"20,077.08"
ม.ค.16,99.61,"1,117.64","16,516.50","1,332.37",1.61,2.12,33.75,35.61,"1,932.23",14.88,660,1.0871,"9,559.50",5.22,1.217,1.738,2.0705,495.65,96.65,1.5,"18,668.00"
ธ.ค.15,98.63,"1,060.91","16,466.30","1,300.98",1.725,2.34,33.62,35.71,"1,940.24",14.26,640,1.0834,"9,632.70",4,1.33,1.923,2.135,499,96.9,1.5,"18,182.00"
พ.ย.15,100.17,"1,064.02","17,425.03","1,288.02",1.965,2.52,37.04,36.02,"2,043.94",13.83,650,1.086,"10,143.40",4.28,1.758,2.269,2.046,562.25,97.28,1.5,"18,394.00"
ต.ค.15,96.95,"1,142.00","17,719.92","1,359.70",2.12,2.76,41.65,35.79,"2,080.41",14.09,730,1.0563,"10,409.60",4.74,1.646,2.208,2.3235,543.2,97.59,1.5,"19,465.38"
ก.ย.15,96.35,"1,114.60","17,663.54","1,394.94",2.145,2.68,46.59,35.59,"2,079.36",15.52,760,1.1005,"10,461.00",6.41,1.522,2.146,2.341,677.65,97.4,1.5,"19,100.00"
ส.ค.15,95.82,"1,134.10","16,284.70","1,349.00",2.16,2.78,45.09,36.36,"1,920.03",14.51,750,1.1176,"9,799.70",5.96,1.355,2.035,2.3385,651.25,97.45,1.5,"18,670.00"
ก.ค.15,97.34,"1,095.40","16,528.03","1,382.41",2.15,2.82,49.2,35.82,"1,972.18",14.6,805,1.1211,"10,176.50",6.32,1.548,2.214,2.369,602.25,97.66,1.5,"18,373.08"
มิ.ย.15,95.49,"1,172.20","17,689.86","1,440.12",2.19,2.82,47.12,34.99,"2,103.84",14.77,815,1.0987,"10,882.30",7.12,1.534,2.187,2.615,611.15,97.73,1.5,"18,820.00"
พ.ค.15,96.91,"1,189.75","17,619.51","1,504.55",2.14,2.96,59.47,33.79,"2,063.11",15.74,865,1.1135,"10,805.20",10.38,1.641,2.349,2.733,673.35,97.63,1.5,"18,954.17"
เม.ย.15,94.6,"1,183.85","18,010.68","1,496.05",2.03,2.81,60.3,33.69,"2,107.39",16.7,"1,060",1.0987,"11,056.30",11.2,1.485,2.123,2.8865,777.1,97.47,1.5,"18,395.45"
มี.ค.15,98.36,"1,183.10","17,840.52","1,526.74",1.95,2.46,59.63,33.01,"2,085.51",16.12,"1,135",1.1222,"11,049.70",11.18,1.43,2.035,2.741,777.5,97.45,1.75,"18,172.00"
ก.พ.15,95.32,"1,212.55","17,776.12","1,505.94",2.19,2.77,47.6,32.53,"2,067.89",16.62,"1,155",1.073,"10,899.20",10.13,1.372,1.927,2.6915,736.15,97.28,2,"18,902.08"
ม.ค.15,94.8,"1,282.80","18,132.70","1,587.01",2.32,2.88,49.76,32.35,"2,104.50",16.6,"1,170",1.1193,"11,062.80",11.58,1.5,1.997,2.4955,819.5,97.17,2,"19,307.69"
ธ.ค.14,90.27,"1,183.55","17,164.95","1,581.25",2.22,2.78,48.24,32.72,"1,994.99",17.22,"1,170",1.1286,"10,537.20",11.42,1.153,1.639,2.8255,773.15,97.74,2,"18,612.00"
พ.ย.14,88.36,"1,167.04","17,823.07","1,497.67",2.3,2.91,53.27,32.9,"2,058.90",15.66,"1,235",1.2097,"10,839.20",9.56,1.653,2.17,2.856,799,98.24,2,"18,210.00"
ต.ค.14,86.92,"1,173.92","17,828.24","1,593.91",2.36,3.08,66.15,32.85,"2,067.56",15.41,"1,200",1.245,"10,955.40",9.25,1.493,2.173,3.047,813.3,98.35,2,"18,734.62"
ก.ย.14,85.94,"1,208.74","17,390.52","1,584.16",2.69,3.36,80.54,32.58,"2,018.05",16.14,"1,230",1.2524,"10,845.00",9.2,1.61,2.335,3.0075,792.3,98.45,2,"18,850.00"
ส.ค.14,82.75,"1,287.07","17,042.90","1,585.67",2.91,3.36,91.16,32.42,"1,972.29",16.94,"1,300",1.2631,"10,702.90",11.58,1.763,2.495,3.153,775.55,98.62,2,"19,562.00"
ก.ค.14,81.46,"1,282.09","17,098.45","1,561.63",3.005,3.47,95.96,31.92,"2,003.37",19.43,"1,315",1.3132,"11,046.30",14.56,1.627,2.345,3.236,909.55,98.7,2,"19,876.00"
มิ.ย.14,79.78,"1,327.19","16,563.30","1,502.39",3.09,3.58,98.17,32.18,"1,930.67",20.35,"1,275",1.3388,"10,726.40",11.71,1.756,2.562,3.2035,874.05,98.78,2,"19,620.00"
พ.ค.14,80.37,"1,250.69","16,826.60","1,485.75",3.16,3.72,105.37,32.41,"1,960.23",20.97,"1,105",1.3691,"10,979.40",11.81,1.633,2.532,3.1205,843.1,98.89,2,"19,781.25"
เม.ย.14,79.47,"1,291.29","16,717.17","1,415.73",3.13,3.73,102.71,32.81,"1,923.57",18.68,"1,150",1.363,"10,756.30",10.69,1.539,2.475,3.0275,836.35,98.49,2,"19,791.67"
มี.ค.14,80.1,"1,283.64","16,580.84","1,414.94",3.06,3.61,99.74,32.34,"1,883.95",19.11,"1,070",1.3866,"10,627.20",13,1.677,2.646,3.0245,813.45,98,2,"20,423.08"
ก.พ.14,79.69,"1,325.79","16,457.66","1,376.26",3.17,3.69,101.58,32.39,"1,872.34",19.71,"1,120",1.377,"10,527.80",12.57,1.72,2.719,3.1875,777.8,97.8,2.25,"19,958.70"
ม.ค.14,81.31,"1,243.19","16,321.71","1,325.33",3.18,3.67,102.59,32.52,"1,859.45",21.19,"1,075",1.3802,"10,425.90",12.6,1.503,2.649,3.2,744.45,97.56,2.25,"19,325.00"
ธ.ค.13,80.04,"1,204.94","15,698.85","1,274.28",3.36,3.99,97.49,33.01,"1,782.59",19.1,"1,040",1.3485,"9,967.70",12.4,1.492,2.644,3.3965,705.15,97.16,2.25,"18,670.83"
พ.ย.13,80.68,"1,251.99","16,576.66","1,298.71",3.44,3.91,98.42,32.68,"1,848.36",19.41,940,1.3745,"10,400.30",11.22,1.748,3.026,3.2155,719.75,97.02,2.25,"19,088.46"
ต.ค.13,80.19,"1,323.19","16,086.41","1,371.13",3.55,4.13,92.72,32.03,"1,805.81",19.95,910,1.3589,"10,183.20",11.8,1.372,2.746,3.3045,719.65,96.92,2.5,"19,351.92"
ก.ย.13,80.22,"1,326.94","15,545.75","1,442.88",3.52,3.95,96.38,31.14,"1,756.54",21.85,970,1.3582,"10,009.70",14.5,1.326,2.552,3.323,738.65,96.76,2.5,"20,176.00"
ส.ค.13,82.09,"1,395.69","15,129.67","1,383.16",3.63,3.92,102.33,31.21,"1,681.55",21.64,980,1.3524,"9,621.30",11.71,1.385,2.615,3.2305,728.6,96.6,2.5,"20,150.00"
ก.ค.13,81.45,"1,322.49","14,810.31","1,294.30",3.87,4.31,107.65,32.13,"1,632.97",23.46,"1,000.00",1.322,"9,270.70",12.63,1.646,2.789,3.125,723.85,96.61,2.5,"18,873.08"
มิ.ย.13,83.14,"1,233.14","15,499.54","1,423.14",3.71,3.98,105.03,31.34,"1,685.73",19.8,965,1.33,"9,558.80",14.3,1.386,2.588,3.0575,728.25,96.51,2.5,"19,538.00"
พ.ค.13,83.26,"1,386.40","14,909.60","1,451.90",3.32,3.73,96.56,31.12,"1,606.28",19.61,990,1.3008,"9,112.70",14.76,1.396,2.487,3.3,662,96.37,2.5,"19,906.25"
เม.ย.13,81.75,"1,476.60","15,115.57","1,562.07",2.97,3.51,91.97,30.41,"1,630.74",22.21,"1,070",1.2995,"9,302.30",17.95,1.024,2.132,3.1875,753.65,96.13,2.75,"20,529.55"
มี.ค.13,83.22,"1,596.17","14,839.80","1,597.86",2.98,3.42,93.46,29.26,"1,597.57",24.28,"1,150",1.3166,"9,276.90",20.02,0.678,1.673,3.4125,699.7,95.98,2.75,"22,194.23"
ก.พ.13,81.95,"1,579.76","14,578.54","1,561.06",3.11,3.59,97.23,29.28,"1,569.19",28.32,"1,220",1.2818,"9,107.00",25.96,0.769,1.852,3.5475,769.65,95.92,2.75,"23,757.69"
ม.ค.13,79.21,"1,662.99","14,054.49","1,541.58",3.14,3.68,92.05,29.76,"1,514.68",28.51,"1,240",1.3056,"8,868.70",25.62,0.766,1.881,3.7395,734.55,95.71,2.75,"23,857.69"
ธ.ค.12,79.77,"1,674.34","13,860.58","1,474.20",3.21,3.69,97.49,29.8,"1,498.11",31.41,"1,165",1.3578,"8,883.80",29.59,0.88,1.985,3.6525,747.1,95.56,2.75,"24,418.75"
พ.ย.12,80.15,"1,714.40","13,104.14","1,391.93",3.09,3.54,91.82,30.58,"1,426.19",30.31,"1,030",1.3194,"8,443.50",35.95,0.725,1.757,3.645,704.65,95.19,2.75,"24,980.77"
ต.ค.12,79.92,"1,720.55","13,025.58","1,324.04",3.2,3.61,88.91,30.69,"1,416.18",33.4,"1,050",1.2984,"8,260.40",32.77,0.619,1.616,3.523,688.2,95.53,2.75,"25,319.23"
ก.ย.12,79.93,"1,771.22","13,096.46","1,298.87",3.16,3.42,86.24,30.69,"1,412.16",32.21,"1,075",1.2958,"8,221.40",35.76,0.721,1.694,3.758,606.7,95.4,3,"25,452.00"
ส.ค.12,81.21,"1,691.15","13,437.13","1,298.79",3.36,3.67,92.19,30.81,"1,440.67",34.46,"1,075",1.2858,"8,251.00",38.96,0.625,1.633,3.4575,639.65,95.09,3,"24,154.00"
ก.ค.12,82.64,"1,613.90","13,090.84","1,227.48",3.2,3.39,96.47,31.32,"1,406.58",31.69,"1,070",1.2575,"8,014.90",34.66,0.588,1.548,3.4235,627.95,94.71,3,"23,790.38"
มิ.ย.12,81.63,"1,598.60","13,008.68","1,199.30",3.19,3.29,88.06,31.5,"1,379.32",27.91,"1,135",1.2303,"7,863.90",36.42,0.586,1.47,3.4965,589.75,94.39,3,"23,854.00"
พ.ค.12,83.04,"1,560.70","12,880.09","1,172.11",3.36,3.51,84.96,31.54,"1,362.16",27.44,"1,200",1.2658,"7,801.80",37.98,0.716,1.643,3.3705,583.05,94.23,3,"23,450.00"
เม.ย.12,78.78,"1,664.36","12,393.45","1,141.50",3.54,3.72,86.53,31.84,"1,310.33",27.65,"1,230",1.2356,"7,464.00",39.14,0.657,1.563,3.8295,612.1,93.86,3,"24,043.18"
มี.ค.12,79,"1,668.90","13,213.63","1,228.49",3.75,3.85,104.87,30.72,"1,397.91",30.95,"1,335",1.324,"8,119.10",41.27,0.813,1.919,3.8295,683.5,93.47,3,"24,338.00"
ก.พ.12,78.74,"1,695.20","13,212.04","1,196.77",3.67,3.83,103.02,30.83,"1,408.47",32.22,"1,375",1.3343,"8,206.90",40.31,1.04,2.214,3.8795,653.15,92.92,3,"25,278.00"
ม.ค.12,79.29,"1,739.43","12,952.07","1,160.90",3.45,3.59,107.07,30.44,"1,365.68",34.59,"1,475",1.3324,"8,113.20",40.13,0.864,1.974,3.797,706.65,92.58,3,"24,630.43"
ธ.ค.11,80.18,"1,564.30","12,632.91","1,083.97",3.132,3.195,98.48,30.97,"1,312.41",33.12,"1,350",1.3078,"7,838.50",42.9,0.706,1.795,3.436,685.2,95.56,3.25,"24,388.89"
พ.ย.11,78.38,"1,745.70","12,217.56","1,025.32",3.2,3.34,98.83,31.52,"1,257.60",27.69,"1,600",1.2945,"7,477.00",38.34,0.833,1.876,3.5735,655.6,95.19,3.25,"25,380.77"
ต.ค.11,76.17,"1,715.25","12,045.68",995.33,3.29,3.41,100.36,30.84,"1,246.96",32.81,"1,575",1.3441,"7,484.50",39.15,0.957,2.072,3.642,610,95.53,3.5,"24,321.15"
ก.ย.11,78.55,"1,623.75","11,955.01",974.75,3.22,3.44,93.19,30.7,"1,253.30",34.16,"1,650",1.3856,"7,565.00",40.93,0.966,2.116,3.152,651.05,95.4,3.5,"25,638.46"
ส.ค.11,74.12,"1,823.80","10,913.38",916.21,3.65,3.69,79.2,31.17,"1,131.42",29.89,"1,825",1.3384,"6,791.60",37.74,0.955,1.917,4.1995,614.05,95.09,3.5,"24,892.31"
ก.ค.11,73.9,"1,626.64","11,613.53","1,070.05",3.475,3.59,88.81,29.93,"1,218.89",41.47,"1,925",1.4377,"7,528.40",46.83,0.97,2.234,4.4895,788.1,94.71,3.25,"22,276.92"
มิ.ย.11,74.3,"1,500.10","12,143.24","1,133.53",3.87,4.03,95.7,29.75,"1,292.28",39.82,"1,950",1.4395,"8,079.40",40.94,1.351,2.793,4.2825,826.7,94.39,3,"22,017.31"
พ.ค.11,74.64,"1,535.35","12,414.34","1,041.48",3.79,3.83,95.42,30.7,"1,320.64",34.65,"1,925",1.4504,"8,319.10",37.98,1.764,3.16,4.1875,759.4,94.23,2.75,"21,608.33"
เม.ย.11,72.93,"1,565.60","12,569.79","1,073.83",3.53,3.75,102.7,30.3,"1,345.20",38.45,"2,275",1.4394,"8,477.30",44.12,1.698,3.059,4.179,778.95,93.86,2.75,"21,034.09"
มี.ค.11,75.86,"1,432.00","12,810.54","1,093.56",3.45,3.74,113.93,29.85,"1,363.61",47.95,"2,325",1.4799,"8,671.40",41.67,1.972,3.29,4.317,791.95,93.47,2.5,"20,387.04"
ก.พ.11,76.89,"1,411.65","12,319.73","1,047.48",3.37,3.79,106.72,30.255,"1,325.83",37.65,"2,375",1.4165,"8,405.00",42.97,2.272,3.47,4.4965,767.9,92.92,2.25,"19,878.57"
ม.ค.11,77.73,"1,332.19","12,226.34",987.91,3.41,3.94,96.97,30.595,"1,327.22",33.83,"2,450",1.3802,"8,438.50",46.67,2.137,3.422,4.4635,797.65,92.58,2.25,"19,708.00"
ธ.ค.10,79.03,"1,421.45","11,891.93",964.1,3.37,3.89,92.19,30.905,"1,286.12",28.06,"2,350",1.3686,"8,139.20",41,1.946,3.374,4.447,819,92.22,2,"19,760.00"
พ.ย.10,81.19,"1,384.85","11,577.51","1,032.76",3.23,3.71,91.38,30.065,"1,257.64",30.91,"2,250",1.3379,"7,964.00",48.96,2.008,3.288,3.8255,803.3,92.66,1.75,"19,319.23"
ต.ค.10,77.27,"1,359.55","11,006.02","1,005.12",3.01,3.64,84.11,30.185,"1,180.55",28.09,"2,225",1.298,"7,430.90",50.64,1.466,2.797,3.739,700.95,92.46,1.75,"18,966.00"
ก.ย.10,78.72,"1,309.50","11,118.49",984.46,2.89,3.29,81.43,29.94,"1,183.26",24.73,"2,250",1.395,"7,513.40",52.89,1.169,2.603,3.6515,651.3,92.28,1.75,"18,463.46"
ส.ค.10,83.2,"1,247.65","10,788.05",975.3,2.64,3.07,79.97,30.345,"1,141.20",21.75,"2,075",1.3633,"7,281.10",45.18,1.273,2.512,3.3685,571.25,92.6,1.75,"18,210.00"
ก.ค.10,81.54,"1,180.90","10,014.72",913.19,2.71,3.02,71.92,31.27,"1,049.33",19.38,"2,175",1.2687,"6,704.10",41.34,1.331,2.47,3.32,500.4,92.2,1.5,"18,294.44"
มิ.ย.10,86.02,"1,242.35","10,465.94",855.83,3.07,3.33,78.95,32.24,"1,101.60",17.99,"2,450",1.3048,"6,999.00",38.61,1.598,2.905,2.9505,500,92.03,1.25,"18,848.08"
พ.ค.10,86.59,"1,216.21","9,774.02",797.31,2.95,3.23,75.63,32.415,"1,030.71",18.6,"2,625",1.2236,"6,469.60",38.44,1.778,2.935,3.115,444.4,91.91,1.25,"18,331.82"
เม.ย.10,81.87,"1,179.25","10,136.63",750.43,3.02,3.35,73.97,32.53,"1,089.41",18.57,"2,800",1.2306,"6,791.60",36,2.099,3.303,3.3535,461.85,91.6,1.25,"17,393.18"
มี.ค.10,81.07,"1,113.80","11,008.61",763.51,3.13,3.58,86.15,32.345,"1,186.69",18.65,"2,525",1.3298,"7,474.40",32.89,2.418,3.659,3.563,554.75,90.36,1.25,"17,137.04"
ก.พ.10,80.36,"1,116.50","10,856.63",787.98,3.54,3.97,83.76,32.35,"1,169.43",17.5,"2,525",1.3512,"7,447.80",30.97,2.554,3.833,3.284,478.15,89.92,1.25,"17,154.17"
ม.ค.10,79.46,"1,081.55","10,325.26",721.37,3.31,4.095,79.66,33.055,"1,104.49",16.48,"2,400",1.3626,"7,035.00",33.61,2.305,3.619,3.0595,432.4,89.56,1.25,"17,475.00"
ธ.ค.09,77.86,"1,096.20","10,067.33",696.55,3.3,4.04,72.89,33.175,"1,073.87",16.19,"2,450",1.3863,"6,883.80",31.48,2.325,3.588,3.3465,416.5,86.4,1.25,"17,761.54"
พ.ย.09,74.78,"1,178.85","10,428.05",734.54,3.58,4.29,79.36,33.36,"1,115.10",16.86,"2,750",1.4318,"7,185.00",33.47,2.684,3.837,3.168,407.25,86.5,1.25,"17,686.00"
ต.ค.09,76.3,"1,044.90","10,344.84",689.07,3.675,4.4,77.28,33.235,"1,095.63",18.44,"1,900",1.5009,"7,092.40",40.15,2.003,3.198,2.9605,363.55,86.2,1.25,"16,390.38"
ก.ย.09,76.65,"1,007.70","9,712.73",685.24,3.9,4.5,77,33.455,"1,036.19",16.3,"1,600",1.4718,"6,739.40",33.57,2.308,3.388,2.819,321.6,86.1,1.25,"15,842.31"
ส.ค.09,78.17,951.15,"9,712.28",717.07,3.45,4.16,70.61,33.44,"1,057.08",16.64,"1,600",1.4636,"6,910.90",35.21,2.315,3.305,2.821,298.55,85.9,1.25,"15,224.00"
ก.ค.09,78.35,954.75,"9,496.28",653.25,3.17,3.9,69.96,34.02,"1,020.62",14.92,"1,525",1.4331,"6,643.20",25.27,2.387,3.401,2.6245,291.8,85.6,1.25,"15,019.23"
มิ.ย.09,80.16,926.85,"9,171.61",624,2.9,3.85,69.45,34.025,987.48,13.93,"1,350",1.425,"6,424.30",26.05,2.516,3.482,2.272,247,85.6,1.25,"15,286.54"
พ.ค.09,79.23,980,"8,447.00",597.48,2.99,3.76,69.89,34.06,919.32,13.6,"1,325",1.4036,"5,905.10",24.03,2.56,3.537,2.1995,236.05,85.3,1.25,"15,172.92"
เม.ย.09,84.82,886.5,"8,500.33",560.41,2.86,4.15,66.31,34.31,919.14,15.78,"1,225",1.4154,"6,004.10",28.33,2.342,3.461,2.0475,218.1,85.5,1.25,"14,952.27"
มี.ค.09,85.51,918.15,"8,168.12",491.69,2.22,3.04,51.12,35.28,872.81,12.38,"1,025",1.3226,"5,513.40",21.16,2.014,3.119,1.849,218.8,84.7,1.5,"15,657.69"
ก.พ.09,88.17,945.15,"7,608.92",431.5,2.4,3.6,49.66,35.495,797.87,12.98,"1,100",1.3251,"4,979.00",23.98,1.668,2.668,1.5385,194.85,84.3,1.5,"15,406.52"
ม.ค.09,85.83,927.75,"7,062.93",431.52,2.76,3.95,44.76,36.19,735.09,13.13,"1,050",1.2669,"4,617.00",19.26,1.991,3.021,1.4755,184.5,83.5,2,"13,982.61"
ธ.ค.08,81.15,880.2,"8,000.86",437.69,2.5,3.55,41.68,34.975,825.88,12.67,"1,150",1.2782,"5,195.80",18.84,1.883,2.851,1.41,186.65,83.5,2.75,"13,526.00"
พ.ย.08,86.52,817.5,"8,776.39",449.96,2.2,2.51,44.6,34.785,903.25,11.36,950,1.398,"5,757.10",19.92,1.559,2.22,1.644,192.6,84.9,3.75,"12,710.42"
